County,City,PostalCode,ModelYear,Make,Model,ElectricVehicleType,ElectricRange,MSRP,CAFVEligibility,Latitude,Longitude,CensusTract,ElectricUtility
Snohomish,Vancouver,99554,2019,Hyundai,Leaf,PHEV,278,51140,Eligible,47.12699173284645,-120.81423588778182,109695,Puget Sound Energy
Spokane,Tacoma,99603,2017,Tesla,Model 3,BEV,324,78753,Not Eligible,47.7070604405799,-120.86347396333963,148582,Seattle City Light
Spokane,Seattle,99241,2012,Nissan,Mustang Mach-E,BEV,328,37031,Not Eligible,47.07359617102708,-119.08291306227756,393238,Avista
King,Everett,99125,2023,Hyundai,Bolt,PHEV,300,40128,Eligible,46.160212862484265,-123.0638907379058,815995,Seattle City Light
Snohomish,Spokane,98553,2012,Chevrolet,Leaf,BEV,257,40663,Eligible,47.27764095601184,-119.64091241081567,384331,Seattle City Light
Clark,Seattle,98287,2018,Nissan,Bolt,BEV,189,59228,Not Eligible,47.350044705031046,-118.48179339117969,753009,Avista
Snohomish,Tacoma,99190,2019,BMW,Bolt,BEV,329,40682,Not Eligible,48.337113468910566,-118.11661707373713,730971,Seattle City Light
Clark,Everett,98620,2016,Nissan,i3,BEV,83,40193,Eligible,48.07432247027754,-122.39155246894046,887646,Puget Sound Energy
King,Tacoma,99005,2023,BMW,i3,BEV,67,53561,Eligible,47.82327068379505,-117.66677617449187,910372,Avista
Pierce,Tacoma,98035,2022,Hyundai,i3,BEV,106,75568,Eligible,45.896854834434,-119.23505040299162,619382,Avista
Spokane,Everett,98743,2016,BMW,Leaf,BEV,161,68813,Eligible,48.022157017323,-117.76794379466556,668694,Tacoma Power
King,Tacoma,99764,2015,Hyundai,Bolt,BEV,54,32766,Eligible,47.2510680472408,-120.3456753387837,247049,Seattle City Light
Spokane,Everett,98352,2017,Hyundai,Model 3,PHEV,231,54844,Eligible,48.62934837637156,-119.97678325686819,538055,Avista
Pierce,Seattle,99699,2017,Hyundai,Mustang Mach-E,BEV,62,54432,Not Eligible,48.7195482694569,-117.52625119931363,551090,Avista
Pierce,Everett,99922,2014,Hyundai,i3,BEV,334,54504,Eligible,45.69304806710625,-117.65058796819463,944846,Puget Sound Energy
King,Everett,98072,2020,Hyundai,i3,BEV,308,75580,Eligible,48.372245461240674,-120.58695432310148,463584,Tacoma Power
Pierce,Spokane,98647,2023,Nissan,Bolt,BEV,139,62146,Eligible,45.63194086647935,-121.71631789436807,335994,Avista
Clark,Everett,99376,2022,Hyundai,Bolt,BEV,153,65297,Eligible,46.78509368993258,-120.94439217533228,990001,Puget Sound Energy
Pierce,Everett,99914,2018,Nissan,Leaf,BEV,235,45858,Eligible,47.39804991467378,-120.97953186455663,811601,Avista
Spokane,Seattle,99093,2012,Hyundai,Leaf,PHEV,299,28071,Eligible,46.01835279519494,-121.63536531261184,304573,Avista
Spokane,Spokane,98424,2018,BMW,i3,PHEV,304,41939,Not Eligible,48.11209834399177,-121.75423257183571,830493,Avista
Spokane,Vancouver,98998,2016,Hyundai,Bolt,BEV,125,49931,Eligible,45.529241464602485,-117.90309091288182,160481,Puget Sound Energy
Spokane,Seattle,98707,2016,Chevrolet,Model 3,BEV,157,75715,Not Eligible,46.09009666951913,-123.0458975155497,862372,Seattle City Light
Clark,Seattle,99804,2013,Hyundai,Mustang Mach-E,BEV,205,69460,Not Eligible,47.53278890448716,-119.09552731635264,389884,Avista
Snohomish,Vancouver,98560,2015,Hyundai,Bolt,PHEV,131,26040,Eligible,48.00035646713052,-122.37666966553306,949760,Avista
King,Everett,98827,2023,BMW,Bolt,PHEV,126,27686,Eligible,48.70825085942871,-121.26071169293859,596733,Seattle City Light
Spokane,Tacoma,99665,2017,Ford,Kona Electric,BEV,307,37666,Eligible,47.96923828177118,-123.09997027812356,374025,Avista
Pierce,Spokane,98955,2021,BMW,Leaf,BEV,176,60321,Not Eligible,47.85122744589203,-121.7451713604395,399140,Tacoma Power
Spokane,Tacoma,98516,2022,Chevrolet,Mustang Mach-E,PHEV,331,26779,Not Eligible,46.88019401222733,-118.50526303773793,787537,Avista
Pierce,Vancouver,98427,2018,Ford,i3,BEV,137,38186,Not Eligible,45.5044954893438,-117.74740039044282,746484,Tacoma Power
Pierce,Seattle,99562,2022,Tesla,Bolt,BEV,253,41459,Eligible,45.92055740557468,-122.06007351263462,661465,Seattle City Light
Spokane,Seattle,98159,2016,Tesla,i3,BEV,65,45710,Not Eligible,47.37094090664614,-120.486939044817,166126,Puget Sound Energy
Clark,Spokane,98148,2020,Chevrolet,Bolt,BEV,200,47219,Eligible,47.86295460045547,-120.44289368840816,418675,Seattle City Light
Pierce,Seattle,98775,2014,BMW,i3,PHEV,303,30057,Eligible,46.96106899363762,-117.82176051256172,126119,Avista
Pierce,Seattle,99253,2012,Nissan,Mustang Mach-E,PHEV,237,43733,Eligible,48.05737654034937,-118.54180615630726,742032,Tacoma Power
Spokane,Spokane,99735,2015,Chevrolet,Leaf,BEV,81,44157,Eligible,47.32651803366262,-120.16499808060767,216894,Puget Sound Energy
Pierce,Spokane,99585,2020,Ford,Mustang Mach-E,BEV,320,60030,Not Eligible,45.759616684580095,-119.14014319693348,258987,Avista
Pierce,Vancouver,98066,2015,Ford,Kona Electric,BEV,54,44613,Eligible,46.17205687838782,-117.99219214958912,495924,Puget Sound Energy
Spokane,Seattle,99013,2013,Hyundai,Model 3,BEV,218,68076,Eligible,48.4399937813538,-123.43799679883396,531965,Puget Sound Energy
Spokane,Seattle,99835,2021,Tesla,Leaf,BEV,230,74544,Eligible,48.03719461318554,-120.88121479817468,144989,Avista
King,Vancouver,98380,2016,Ford,Mustang Mach-E,BEV,227,42492,Not Eligible,48.63166695454373,-117.602919412699,908538,Seattle City Light
Clark,Everett,98057,2014,Chevrolet,Kona Electric,BEV,192,45746,Not Eligible,45.91145037192328,-118.68796529951432,903563,Avista
Clark,Everett,99282,2023,Ford,Model 3,BEV,297,30188,Eligible,48.96577887115276,-119.97153106682852,932985,Avista
Pierce,Everett,98341,2020,Chevrolet,Kona Electric,BEV,176,66570,Eligible,46.23292349882477,-120.05731057427164,106553,Seattle City Light
Clark,Vancouver,99861,2015,Nissan,Bolt,BEV,312,54680,Eligible,45.54122956700325,-121.23949436557115,642169,Tacoma Power
Pierce,Seattle,99153,2017,Hyundai,Bolt,BEV,89,62825,Not Eligible,48.99098028668744,-120.11661653133015,101379,Avista
King,Vancouver,98726,2013,Tesla,i3,BEV,304,61766,Eligible,46.48375859905789,-119.24000920348756,452935,Puget Sound Energy
Spokane,Vancouver,99195,2017,Ford,Leaf,PHEV,192,33864,Eligible,47.83806808379396,-120.78064025021284,467808,Avista
Spokane,Everett,98769,2014,Chevrolet,Bolt,BEV,289,61445,Eligible,46.11838809961707,-118.85800454845086,169306,Avista
Spokane,Tacoma,98613,2023,BMW,Kona Electric,BEV,277,30796,Eligible,47.530799862696995,-117.9019905228075,512942,Puget Sound Energy
Clark,Seattle,99232,2023,Tesla,Leaf,PHEV,247,72218,Not Eligible,48.66412245259096,-122.49454848679841,343825,Seattle City Light
King,Everett,99826,2020,Nissan,Bolt,PHEV,114,64131,Eligible,46.620634085999534,-120.56494435168675,527530,Tacoma Power
Clark,Tacoma,98353,2022,Chevrolet,i3,BEV,60,33123,Eligible,47.84588891615526,-120.84786940664698,611030,Tacoma Power
Clark,Tacoma,99494,2013,Hyundai,Mustang Mach-E,PHEV,157,33222,Eligible,46.157662560794456,-119.03147877367677,728800,Puget Sound Energy
King,Spokane,99821,2023,Hyundai,i3,BEV,75,49074,Eligible,47.68678389551554,-121.87586147582346,378494,Seattle City Light
King,Seattle,98115,2023,Nissan,Model 3,BEV,200,71422,Not Eligible,46.677576231361286,-119.33836905281021,600395,Avista
King,Tacoma,99287,2020,Nissan,Bolt,BEV,270,75552,Eligible,46.23922890505783,-117.79631992874533,199599,Avista
King,Everett,98661,2016,Hyundai,Model 3,BEV,286,54825,Not Eligible,46.59613717746272,-120.78214460134146,705685,Avista
Spokane,Spokane,99835,2019,Ford,Model 3,BEV,286,61839,Not Eligible,46.1259437397773,-117.57839795013507,441653,Avista
Snohomish,Seattle,99465,2013,Ford,Kona Electric,BEV,268,66576,Eligible,48.65670637743259,-117.0444356969324,642057,Avista
Snohomish,Vancouver,99571,2017,Chevrolet,Leaf,BEV,200,27786,Eligible,46.89015410210995,-122.81040167533831,802609,Puget Sound Energy
King,Everett,98452,2014,BMW,Kona Electric,BEV,172,58638,Eligible,46.35847756741028,-121.98515427809842,725872,Avista
Snohomish,Tacoma,99868,2023,Chevrolet,Bolt,BEV,193,61964,Not Eligible,47.06942744355577,-117.32253161536639,408509,Avista
Snohomish,Tacoma,99500,2023,BMW,Model 3,BEV,238,69564,Eligible,46.62187658382273,-117.27087003787099,412329,Seattle City Light
King,Everett,98286,2021,Nissan,Mustang Mach-E,BEV,304,50988,Eligible,48.10546738834664,-122.86490270998607,758146,Avista
Snohomish,Tacoma,99326,2016,Tesla,Model 3,PHEV,117,60507,Eligible,48.89926969159923,-123.4025097475486,855897,Tacoma Power
Clark,Spokane,99016,2023,Chevrolet,Mustang Mach-E,PHEV,153,58708,Not Eligible,47.033117798441765,-122.45284984883325,226525,Puget Sound Energy
Pierce,Seattle,98310,2019,Chevrolet,Kona Electric,PHEV,208,58108,Eligible,48.51361689990284,-117.02591690801539,494836,Puget Sound Energy
Pierce,Spokane,98207,2021,BMW,Kona Electric,BEV,349,54715,Eligible,47.48052075745867,-122.33000249203053,660591,Puget Sound Energy
King,Tacoma,98617,2012,Nissan,Leaf,PHEV,139,48806,Eligible,46.05032482782982,-120.23344055630685,119589,Tacoma Power
Spokane,Vancouver,98445,2016,Nissan,Model 3,BEV,305,61901,Eligible,47.917179597284694,-117.98528477820167,365026,Avista
King,Seattle,98669,2014,BMW,i3,BEV,269,42043,Not Eligible,47.29702073994037,-123.36738953052667,280394,Puget Sound Energy
Spokane,Seattle,98632,2015,Nissan,Kona Electric,BEV,58,35225,Eligible,47.777122831382364,-119.57082161532001,753524,Tacoma Power
Pierce,Everett,98054,2013,Hyundai,Kona Electric,BEV,61,34752,Not Eligible,48.61390594400083,-121.69933458234745,517740,Seattle City Light
King,Everett,98911,2020,Ford,Leaf,BEV,293,28457,Not Eligible,47.04152099729616,-117.89482304314174,896177,Avista
Clark,Vancouver,99035,2014,Hyundai,Mustang Mach-E,BEV,231,67616,Eligible,48.65412168126075,-121.65750252978349,115861,Tacoma Power
Snohomish,Seattle,98656,2013,Tesla,Leaf,PHEV,333,77127,Not Eligible,48.12734154998579,-119.03608781816759,715995,Avista
Spokane,Vancouver,99423,2021,Chevrolet,Model 3,BEV,148,34241,Eligible,47.21011724057295,-119.11757238909192,416405,Seattle City Light
Snohomish,Everett,99931,2022,Tesla,Bolt,BEV,246,25453,Eligible,47.611277474802876,-122.06029193241234,879331,Tacoma Power
Snohomish,Everett,99671,2020,Chevrolet,Bolt,PHEV,275,34896,Not Eligible,46.63953396381654,-123.27380520085572,758197,Avista
King,Seattle,98979,2018,Ford,Mustang Mach-E,BEV,152,46826,Eligible,48.94259054908571,-120.83987777039492,436279,Tacoma Power
Snohomish,Spokane,98514,2017,Nissan,Kona Electric,BEV,155,35976,Not Eligible,47.835729070676386,-121.62024451222184,678668,Puget Sound Energy
Clark,Tacoma,99679,2012,Hyundai,Mustang Mach-E,BEV,107,73640,Eligible,45.653463983738206,-118.2416446275109,972521,Avista
Snohomish,Everett,99565,2016,BMW,Kona Electric,BEV,127,58586,Not Eligible,46.64317667011803,-118.29763277504026,729313,Tacoma Power
King,Everett,98236,2023,Hyundai,Kona Electric,BEV,124,29868,Eligible,47.6816005181567,-120.52934431074793,805191,Puget Sound Energy
Clark,Spokane,99302,2022,Ford,Bolt,BEV,91,41396,Eligible,45.69716647229734,-119.55767053539908,320421,Seattle City Light
Pierce,Spokane,98347,2022,Tesla,Mustang Mach-E,BEV,230,56634,Eligible,45.583594669617,-119.57231314608498,344497,Avista
Snohomish,Vancouver,98626,2014,BMW,Leaf,BEV,82,37171,Not Eligible,47.07508483834731,-118.12347203522044,784880,Avista
King,Vancouver,99127,2012,Nissan,Kona Electric,BEV,120,49111,Not Eligible,46.664415628924345,-120.73748430819921,522757,Seattle City Light
Pierce,Tacoma,98629,2015,Ford,i3,BEV,105,58688,Eligible,47.034045128116084,-121.7095965813617,144397,Puget Sound Energy
Pierce,Tacoma,99540,2013,BMW,i3,BEV,154,46304,Not Eligible,46.419426584580016,-121.77727303208644,963517,Seattle City Light
Spokane,Seattle,99895,2013,Ford,Leaf,PHEV,249,76570,Eligible,46.076512114300435,-120.01475018466567,950297,Avista
Clark,Vancouver,99271,2014,Ford,i3,BEV,150,67274,Eligible,47.912001749431184,-120.58053668224062,942388,Tacoma Power
Snohomish,Everett,98363,2019,Nissan,Model 3,BEV,305,64243,Not Eligible,47.3009989069373,-120.63921498859791,520669,Puget Sound Energy
King,Vancouver,98320,2019,Chevrolet,Kona Electric,BEV,123,53253,Not Eligible,46.200539739372786,-122.9076072959169,555561,Puget Sound Energy
Spokane,Everett,99656,2023,BMW,Leaf,BEV,220,55980,Not Eligible,46.61856299191,-118.82907568551373,987159,Puget Sound Energy
Clark,Spokane,98285,2018,Nissan,Mustang Mach-E,BEV,192,27017,Not Eligible,47.57132767682164,-122.11071152811758,506122,Seattle City Light
Spokane,Vancouver,98148,2017,Ford,Kona Electric,BEV,215,32957,Eligible,45.752802718953674,-122.21980140364332,377132,Seattle City Light
Clark,Spokane,99107,2020,Nissan,Leaf,PHEV,310,73998,Not Eligible,46.01608553243163,-120.81707091819695,258795,Tacoma Power
Clark,Tacoma,99989,2015,Chevrolet,Bolt,PHEV,270,67188,Eligible,45.75635961437587,-122.01944077948428,658088,Tacoma Power
Snohomish,Tacoma,98405,2023,Hyundai,Mustang Mach-E,BEV,132,29792,Eligible,48.34311066449941,-119.7049212624979,258502,Puget Sound Energy
Clark,Seattle,98977,2012,BMW,Bolt,PHEV,231,38237,Eligible,48.133432316242036,-121.08548829432594,525751,Tacoma Power
Spokane,Vancouver,98455,2019,Chevrolet,Kona Electric,BEV,59,76586,Eligible,48.1365952615774,-120.58207380314687,299548,Seattle City Light
Clark,Spokane,99766,2018,Tesla,Mustang Mach-E,BEV,53,41251,Eligible,48.007138702166095,-120.00839940957381,357653,Tacoma Power
Snohomish,Everett,98799,2018,BMW,i3,BEV,341,44252,Eligible,47.842848982844544,-122.17701910386828,973761,Seattle City Light
Snohomish,Tacoma,99184,2014,Chevrolet,Leaf,BEV,330,35707,Eligible,47.16947170382361,-122.48761445137406,676572,Tacoma Power
Spokane,Tacoma,99012,2015,Ford,Kona Electric,PHEV,264,59206,Eligible,47.7479735722749,-117.77725763132158,680520,Avista
Pierce,Everett,98783,2021,BMW,Model 3,BEV,147,53740,Eligible,45.63426544175791,-120.68079593159577,144420,Seattle City Light
Pierce,Spokane,98459,2020,BMW,Mustang Mach-E,BEV,150,28543,Eligible,47.67512547929874,-120.8213915373885,924142,Avista
Clark,Spokane,99573,2017,Nissan,Mustang Mach-E,PHEV,58,69135,Eligible,48.22257196937907,-123.26852102322653,565713,Seattle City Light
King,Vancouver,99523,2016,Ford,Kona Electric,BEV,110,75933,Not Eligible,47.251254261345366,-120.26315403318195,716323,Tacoma Power
Clark,Vancouver,98737,2014,Tesla,Kona Electric,BEV,195,73288,Not Eligible,46.75129664949533,-119.8978968095285,533714,Avista
Spokane,Seattle,98508,2020,Hyundai,Bolt,BEV,112,64111,Not Eligible,46.470993571803426,-119.86753433879467,917715,Tacoma Power
Spokane,Tacoma,99677,2016,Chevrolet,i3,PHEV,170,60031,Eligible,47.74980717556729,-118.90429739940126,297241,Seattle City Light
Spokane,Vancouver,99827,2016,Nissan,Bolt,PHEV,275,67929,Not Eligible,47.92480419520468,-122.34636807255842,817817,Avista
Spokane,Spokane,98480,2015,Chevrolet,Bolt,BEV,154,25211,Eligible,48.5483865995189,-121.86054962750097,349863,Puget Sound Energy
Spokane,Everett,99686,2015,Tesla,i3,BEV,309,71577,Eligible,46.69816928861347,-118.23025197600232,125968,Tacoma Power
Snohomish,Spokane,98113,2023,Tesla,Model 3,BEV,304,64795,Eligible,48.19420307584955,-117.34339099051795,162508,Seattle City Light
Pierce,Tacoma,98748,2012,BMW,Bolt,PHEV,256,25331,Not Eligible,47.464745384662685,-122.61643714211242,860151,Avista
Spokane,Spokane,99601,2018,Tesla,Bolt,BEV,77,48244,Eligible,48.58992771737328,-120.26527789571608,818580,Tacoma Power
King,Seattle,98360,2020,Chevrolet,Mustang Mach-E,BEV,219,33169,Eligible,47.34734237903467,-122.10785435719268,475579,Avista
King,Tacoma,98340,2014,Ford,i3,PHEV,125,47104,Eligible,47.31170439939289,-123.10952440569261,185366,Tacoma Power
King,Everett,98769,2023,Ford,Leaf,BEV,165,66901,Not Eligible,47.52256978504318,-121.38422830218012,630026,Tacoma Power
King,Seattle,98760,2013,BMW,Model 3,BEV,118,39591,Not Eligible,48.12260374299852,-122.56603043630261,103098,Tacoma Power
Snohomish,Tacoma,98968,2014,Hyundai,Model 3,BEV,283,56711,Eligible,48.87641667589961,-118.8854350226774,195424,Avista
King,Everett,98448,2012,Chevrolet,i3,PHEV,50,73893,Eligible,45.75747173975518,-120.03078481113562,828993,Avista
Spokane,Seattle,99866,2017,Chevrolet,Kona Electric,BEV,216,25727,Eligible,45.68702110836856,-122.56507593856298,702960,Tacoma Power
Clark,Seattle,98834,2022,Tesla,Kona Electric,BEV,267,46359,Not Eligible,48.781426180925685,-123.43992967536416,400388,Puget Sound Energy
King,Tacoma,99203,2022,Chevrolet,Mustang Mach-E,BEV,322,68822,Eligible,47.35456468931372,-118.24697918134262,763613,Puget Sound Energy
Snohomish,Vancouver,99725,2018,Nissan,Mustang Mach-E,BEV,300,61011,Not Eligible,47.65216055098428,-122.35473635993239,940765,Puget Sound Energy
Snohomish,Seattle,99430,2022,Hyundai,i3,BEV,223,74800,Eligible,47.18848260558155,-119.55959182556502,225349,Seattle City Light
King,Seattle,99689,2022,Tesla,Mustang Mach-E,BEV,219,62863,Not Eligible,45.82780108412616,-121.31000756500116,675257,Puget Sound Energy
Clark,Everett,99219,2013,Nissan,Model 3,PHEV,295,71577,Eligible,48.188312824465335,-119.69434140095227,715032,Avista
King,Spokane,99489,2019,BMW,Model 3,BEV,139,47998,Eligible,48.115286257810055,-121.4482514246149,301495,Puget Sound Energy
Snohomish,Tacoma,98310,2017,Ford,Leaf,BEV,98,35929,Eligible,46.59096162522484,-122.93489285550035,217286,Avista
Pierce,Tacoma,98261,2015,BMW,Kona Electric,BEV,343,39842,Eligible,46.571837358299405,-122.0508249443746,175028,Seattle City Light
Spokane,Vancouver,99442,2016,Ford,i3,BEV,199,48519,Eligible,48.43244483316931,-122.277619317886,921853,Avista
Snohomish,Vancouver,98405,2019,BMW,Bolt,PHEV,181,42393,Not Eligible,45.75325040209464,-120.71787420914231,138575,Avista
King,Tacoma,99962,2014,Chevrolet,Kona Electric,BEV,108,59318,Eligible,48.58386801924798,-119.22115540772998,627480,Avista
Spokane,Vancouver,98142,2014,Nissan,Bolt,BEV,248,33995,Not Eligible,46.3983159146357,-121.78526051284868,735404,Puget Sound Energy
King,Everett,98341,2022,Ford,Leaf,BEV,264,53656,Not Eligible,47.57544661714423,-123.42154542054598,548484,Tacoma Power
King,Tacoma,99339,2015,Tesla,Leaf,BEV,98,72934,Eligible,48.77597962650622,-120.12690713227909,705599,Avista
Pierce,Vancouver,99124,2012,Nissan,Mustang Mach-E,BEV,281,65260,Not Eligible,47.873428755378264,-119.56256331916669,705069,Puget Sound Energy
Spokane,Tacoma,98243,2020,Tesla,Leaf,BEV,296,70269,Not Eligible,46.95050434363463,-117.24134178898824,660815,Puget Sound Energy
Spokane,Spokane,98489,2019,Nissan,Leaf,PHEV,288,40567,Eligible,47.913369731168956,-119.6684397798939,676469,Puget Sound Energy
Pierce,Seattle,98011,2019,Nissan,Bolt,PHEV,217,53840,Not Eligible,46.7039287271073,-120.43737836404208,715760,Tacoma Power
Snohomish,Tacoma,99262,2021,BMW,Mustang Mach-E,BEV,97,77553,Eligible,46.47040445722215,-119.77288943166492,705507,Tacoma Power
King,Seattle,98560,2017,Ford,Leaf,PHEV,100,48831,Eligible,48.988391472771376,-117.46864590589682,219783,Tacoma Power
Clark,Vancouver,98041,2018,Ford,Kona Electric,BEV,348,38265,Not Eligible,48.12776580912926,-118.1155420535893,261554,Tacoma Power
King,Seattle,98677,2017,Nissan,Leaf,BEV,147,30424,Eligible,47.75651992083636,-121.40063823313525,279300,Seattle City Light
King,Tacoma,98593,2020,Chevrolet,Mustang Mach-E,BEV,265,45625,Eligible,46.74351375126761,-121.95784663622861,707553,Tacoma Power
Snohomish,Spokane,99452,2014,Chevrolet,i3,BEV,226,39086,Eligible,45.67206290204267,-121.79288151962052,150126,Tacoma Power
King,Vancouver,99826,2014,Tesla,Mustang Mach-E,BEV,129,54187,Not Eligible,45.608699066123044,-120.22126324185112,906977,Tacoma Power
Pierce,Tacoma,99181,2014,Tesla,Bolt,BEV,234,60929,Not Eligible,47.439634394070794,-118.66367856701424,155114,Avista
Pierce,Vancouver,99239,2021,BMW,i3,BEV,76,45539,Eligible,48.16711452363668,-120.22907515331075,455884,Avista
Spokane,Everett,99693,2014,Nissan,Kona Electric,BEV,244,50103,Not Eligible,47.380827166553495,-123.05932342711726,306422,Tacoma Power
Clark,Seattle,99485,2020,Tesla,Model 3,BEV,263,52874,Not Eligible,48.442747751786904,-118.79672544714012,813161,Seattle City Light
King,Everett,98133,2023,Tesla,Mustang Mach-E,PHEV,163,34215,Eligible,45.616992865826276,-118.2611941636388,900322,Avista
King,Tacoma,99090,2015,Hyundai,Bolt,BEV,291,64385,Eligible,46.78363226749079,-121.61826387672183,221284,Puget Sound Energy
Snohomish,Spokane,99871,2018,Nissan,Kona Electric,BEV,173,47044,Not Eligible,46.32974636910962,-119.18318269465823,414626,Avista
Pierce,Vancouver,99030,2020,BMW,i3,BEV,125,36926,Not Eligible,47.06545538854993,-120.72715264314644,294469,Puget Sound Energy
Clark,Seattle,98947,2022,Tesla,Kona Electric,BEV,245,72860,Not Eligible,45.75331737617943,-117.72072418777162,242290,Avista
Spokane,Vancouver,99549,2023,BMW,Mustang Mach-E,PHEV,93,56501,Eligible,48.839460745498755,-118.0060338719552,433735,Tacoma Power
Pierce,Tacoma,98072,2018,Ford,Leaf,BEV,235,54774,Eligible,46.28139390374276,-120.08469201098733,712529,Avista
Spokane,Vancouver,98398,2020,BMW,Mustang Mach-E,BEV,295,50008,Eligible,48.728077214192545,-119.00521395221163,921154,Tacoma Power
Snohomish,Seattle,99428,2023,Chevrolet,Model 3,PHEV,133,73928,Eligible,46.990626042628385,-117.75822694335632,935863,Tacoma Power
Snohomish,Tacoma,99698,2014,Chevrolet,Mustang Mach-E,BEV,256,42560,Eligible,48.94933446639326,-120.27783943449121,282615,Avista
King,Vancouver,98577,2015,BMW,i3,BEV,200,49340,Not Eligible,47.439204342110735,-121.46387018682266,404144,Puget Sound Energy
Clark,Spokane,98858,2019,Chevrolet,i3,BEV,205,49976,Eligible,48.75791502461533,-118.60117010358772,958407,Puget Sound Energy
Spokane,Tacoma,98129,2017,Ford,Mustang Mach-E,PHEV,65,73406,Not Eligible,45.51872146042978,-122.0695693438995,655209,Avista
Pierce,Tacoma,98930,2016,Nissan,i3,BEV,214,52626,Eligible,48.11883582163315,-120.97454753796073,985697,Tacoma Power
